title,views,when,words
Michael Shellenberger: This sounds absolutely crazy,606000,30240,"['michael', 'shellenberger', 'this', 'sounds', 'absolutely', 'crazy']"
Real ‘criminal acts’ are being ignored: Charlie Hurt,27000,30240,"['real', 'criminal', 'acts', 'are', 'being', 'ignored', 'charlie', 'hurt']"
James Comer: There are more Biden documents,483000,30240,"['james', 'comer', 'there', 'are', 'more', 'biden', 'documents']"
‘The Five’: A ‘Squad’ member went off about being ‘anti-woke’,307000,30240,"['the', 'five', 'a', 'squad', 'member', 'went', 'off', 'about', 'being', 'antiwoke']"
Martha Stewart warns America could 'go down the drain',81000,30240,"['martha', 'stewart', 'warns', 'america', 'could', 'go', 'down', 'the', 'drain']"
"‘VIRTUAL CERTAINTY’: Trump will be charged for classified docs, Andy McCarthy says",80000,30240,"['virtual', 'certainty', 'trump', 'will', 'be', 'charged', 'for', 'classified', 'docs', 'andy', 'mccarthy', 'says']"
Gutfeld: CNN showed its boss the door,182000,30240,"['gutfeld', 'cnn', 'showed', 'its', 'boss', 'the', 'door']"
Biden admin has a 'fatal attraction to nutty ideas': Sen. Kennedy,105000,30240,"['biden', 'admin', 'has', 'a', 'fatal', 'attraction', 'to', 'nutty', 'ideas', 'sen', 'kennedy']"
Is Prince Harry really concerned about public exposure?,21000,30240,"['is', 'prince', 'harry', 'really', 'concerned', 'about', 'public', 'exposure']"
Jesse Watters: Trudeau hasn’t apologized,225000,30240,"['jesse', 'watters', 'trudeau', 'hasnt', 'apologized']"
Mike Pence: I will stand on a strong conservative agenda,17000,30240,"['mike', 'pence', 'i', 'will', 'stand', 'on', 'a', 'strong', 'conservative', 'agenda']"
AOC ripped for ‘incredibly dishonest’ tweet about smoke over NYC,365000,30240,"['aoc', 'ripped', 'for', 'incredibly', 'dishonest', 'tweet', 'about', 'smoke', 'over', 'nyc']"
EXODUS: Actor follows Mark Wahlberg's move out of Hollywood,312000,30240,"['exodus', 'actor', 'follows', 'mark', 'wahlbergs', 'move', 'out', 'of', 'hollywood']"
There is no reason for the FBI to not hand over this document: Rep. James Comer,118000,30240,"['there', 'is', 'no', 'reason', 'for', 'the', 'fbi', 'to', 'not', 'hand', 'over', 'this', 'document', 'rep', 'james', 'comer']"
White House finally addresses Biden's commencement fall: 'Things happen',59000,30240,"['white', 'house', 'finally', 'addresses', 'bidens', 'commencement', 'fall', 'things', 'happen']"
Ted Cruz: The mayor of New York decided his ideal resident is Hunter Biden,116000,30240,"['ted', 'cruz', 'the', 'mayor', 'of', 'new', 'york', 'decided', 'his', 'ideal', 'resident', 'is', 'hunter', 'biden']"
How can Americans win the culture war?,16000,30240,"['how', 'can', 'americans', 'win', 'the', 'culture', 'war']"
Top Republican claims FBI 'running cover' for Biden in Hunter probe,168000,30240,"['top', 'republican', 'claims', 'fbi', 'running', 'cover', 'for', 'biden', 'in', 'hunter', 'probe']"
‘The Five’: Kamala Harris is undergoing another image reboot,382000,30240,"['the', 'five', 'kamala', 'harris', 'is', 'undergoing', 'another', 'image', 'reboot']"
Whistleblower alleges US military is hiding UFO retrieval program,132000,30240,"['whistleblower', 'alleges', 'us', 'military', 'is', 'hiding', 'ufo', 'retrieval', 'program']"
"PGA, European golf tours merge with LIV",10000,30240,"['pga', 'european', 'golf', 'tours', 'merge', 'with', 'liv']"
DeSantis' campaign hasn't 'caught fire' and this is how we know: Gingrich,31000,30240,"['desantis', 'campaign', 'hasnt', 'caught', 'fire', 'and', 'this', 'is', 'how', 'we', 'know', 'gingrich']"
Jesse Watters: College professor fails student for writing 'biological women',283000,30240,"['jesse', 'watters', 'college', 'professor', 'fails', 'student', 'for', 'writing', 'biological', 'women']"
China knows ‘no bounds’: Top Republican,13000,30240,"['china', 'knows', 'no', 'bounds', 'top', 'republican']"
Biden used ‘bribe bait’: James Comer,407000,30240,"['biden', 'used', 'bribe', 'bait', 'james', 'comer']"
Gutfeld: This is cruel,150000,30240,"['gutfeld', 'this', 'is', 'cruel']"
'Outnumbered' defends Casey DeSantis after 'disgusting' attack by media,296000,30240,"['outnumbered', 'defends', 'casey', 'desantis', 'after', 'disgusting', 'attack', 'by', 'media']"
"We're not really running against Joe Biden, GOP candidate warns",47000,30240,"['were', 'not', 'really', 'running', 'against', 'joe', 'biden', 'gop', 'candidate', 'warns']"
INTO THE LION'S DEN: Tim Scott to respond to 'The View's' race claims,49000,30240,"['into', 'the', 'lions', 'den', 'tim', 'scott', 'to', 'respond', 'to', 'the', 'views', 'race', 'claims']"
Warning about Kamala Harris' chances of becoming president,359000,30240,"['warning', 'about', 'kamala', 'harris', 'chances', 'of', 'becoming', 'president']"
San Diego business owner criticizes costly plan to buy hotels to house homeless,29000,30240,"['san', 'diego', 'business', 'owner', 'criticizes', 'costly', 'plan', 'to', 'buy', 'hotels', 'to', 'house', 'homeless']"
Mark Levin: This is 'frightening',654000,30240,"['mark', 'levin', 'this', 'is', 'frightening']"
Gutfeld: San Fran put out a glitzy propaganda ad,241000,30240,"['gutfeld', 'san', 'fran', 'put', 'out', 'a', 'glitzy', 'propaganda', 'ad']"
California approves ‘shocking’ policy giving weekly checks to migrants: Report,323000,30240,"['california', 'approves', 'shocking', 'policy', 'giving', 'weekly', 'checks', 'to', 'migrants', 'report']"
"Newly-released texts reveal 'chummy' relationship between teachers union, CDC",138000,30240,"['newlyreleased', 'texts', 'reveal', 'chummy', 'relationship', 'between', 'teachers', 'union', 'cdc']"
"Ride-share app uses licensed, armed drivers to protect riders",56000,30240,"['rideshare', 'app', 'uses', 'licensed', 'armed', 'drivers', 'to', 'protect', 'riders']"
